Packet,Packet 10.docx
Team A,"Rangers Q.B.C. be like ""For 10 points and the IRA"""
Team B,"From the Delaware River to the sea, Central Jersey will be free"
Final Score,"Rangers Q.B.C. be like ""For 10 points and the IRA"" 210 - 510 From the Delaware River to the sea, Central Jersey will be free"
Winner,"From the Delaware River to the sea, Central Jersey will be free"
Exported,2026-08-22T20:15:13.434Z

Team,Score
"Rangers Q.B.C. be like ""For 10 points and the IRA""",210
"From the Delaware River to the sea, Central Jersey will be free",510

Player,Team,Points
John Haslun,"Rangers Q.B.C. be like ""For 10 points and the IRA""",210
Nick Pruitt,"From the Delaware River to the sea, Central Jersey will be free",70
Aum Mundhe,"From the Delaware River to the sea, Central Jersey will be free",230
Paul Cantave,"From the Delaware River to the sea, Central Jersey will be free",30
Brian Lu,"From the Delaware River to the sea, Central Jersey will be free",180
