Packet,Packet 2.docx
Team A,"Rangers Q.B.C. be like ""For 10 points and the IRA"""
Team B,Spencer Jones fans
Final Score,"Rangers Q.B.C. be like ""For 10 points and the IRA"" 190 - 540 Spencer Jones fans"
Winner,Spencer Jones fans
Exported,2026-08-22T14:49:14.904Z

Team,Score
"Rangers Q.B.C. be like ""For 10 points and the IRA""",190
Spencer Jones fans,540

Player,Team,Points
John Haslun,"Rangers Q.B.C. be like ""For 10 points and the IRA""",190
Noah Sheidlower,Spencer Jones fans,80
Zachary Joseph,Spencer Jones fans,60
Tejas Raje,Spencer Jones fans,240
Ryan Rosenberg,Spencer Jones fans,160
