Packet,Packet 7.docx
Team A,Spencer Jones fans
Team B,"Rangers Q.B.C. be like ""For 10 points and the IRA"""
Final Score,"Spencer Jones fans 510 - 205 Rangers Q.B.C. be like ""For 10 points and the IRA"""
Winner,Spencer Jones fans
Exported,2026-08-22T18:31:34.782Z

Team,Score
Spencer Jones fans,510
"Rangers Q.B.C. be like ""For 10 points and the IRA""",205

Player,Team,Points
Ryan Rosenberg,Spencer Jones fans,120
Tejas Raje,Spencer Jones fans,190
Noah Sheidlower,Spencer Jones fans,70
Zachary Joseph,Spencer Jones fans,130
John Haslun,"Rangers Q.B.C. be like ""For 10 points and the IRA""",205
