Packet,Packet 8.docx
Team A,protobowling for soup
Team B,"Rangers Q.B.C. be like ""For 10 points and the IRA"""
Final Score,"protobowling for soup 370 - 355 Rangers Q.B.C. be like ""For 10 points and the IRA"""
Winner,protobowling for soup
Exported,2026-08-22T19:07:24.347Z

Team,Score
protobowling for soup,370
"Rangers Q.B.C. be like ""For 10 points and the IRA""",355

Player,Team,Points
Michael Wuest,protobowling for soup,65
Bryana Snyder,protobowling for soup,10
Arthur Ramsay,protobowling for soup,135
Michael Borecki,protobowling for soup,160
John Haslun,"Rangers Q.B.C. be like ""For 10 points and the IRA""",355
