Packet,Packet 12.docx
Team A,ski be dee
Team B,Aminal Farm
Final Score,ski be dee 305 - 245 Aminal Farm
Winner,ski be dee
Exported,2026-08-24T01:03:26.355Z

Team,Score
ski be dee,305
Aminal Farm,245

Player,Team,Points,Played
Gabriela Ang,ski be dee,130,1
Jerry Yi,ski be dee,50,1
Nathan Starck,ski be dee,20,1
Matías Lazarte,ski be dee,105,1
Finn Townson-Carolan,ski be dee,0,0
Olivia Sze,ski be dee,0,0
Vince Alcibar,ski be dee,0,0
Isabella Hakemi,ski be dee,0,0
Alex Boettcher,Aminal Farm,60,1
Isa Zeng,Aminal Farm,30,1
Nikhil Krishna,Aminal Farm,135,1
Guru Nathan,Aminal Farm,20,1
