Packet,Pocket Dimension v3/Packet 6.docx
Team A,Madrzyk: The Gathering
Team B,loveday's lost braincell
Final Score,Madrzyk: The Gathering 495 - 95 loveday's lost braincell
Winner,Madrzyk: The Gathering
Exported,2026-08-23T21:14:44.809Z

Team,Score
Madrzyk: The Gathering,495
loveday's lost braincell,95

Player,Team,Points,Played
Josh Yamada,Madrzyk: The Gathering,170,1
Russell Nip,Madrzyk: The Gathering,180,1
Justin Qian,Madrzyk: The Gathering,40,1
John Chen,Madrzyk: The Gathering,105,1
Eric Liu,loveday's lost braincell,0,0.479
Victoria Shmig,loveday's lost braincell,0,0.479
Lucas Xiong,loveday's lost braincell,75,1
Amraj Sandhu,loveday's lost braincell,10,1
Terrence Jang,loveday's lost braincell,10,0.521
Emalyn Hamm,loveday's lost braincell,0,0.521
