Packet,Pocket Dimension v3/Packet 6.docx
Team A,ski be dee
Team B,just pick me 岡田山田 and let’s 躺平 in peace
Final Score,ski be dee 170 - 360 just pick me 岡田山田 and let’s 躺平 in peace
Winner,just pick me 岡田山田 and let’s 躺平 in peace
Exported,2026-08-23T21:12:12.095Z

Team,Score
ski be dee,170
just pick me 岡田山田 and let’s 躺平 in peace,360

Player,Team,Points,Played
Gabriela Ang,ski be dee,90,1
Nathan Starck,ski be dee,10,1
Olivia Sze,ski be dee,30,1
Finn Townson-Carolan,ski be dee,30,1
Jerry Yi,ski be dee,10,1
Vince Alcibar,ski be dee,0,1
Isabella Hakemi,ski be dee,0,1
Matías Lazarte,ski be dee,0,1
Matthew Wang,just pick me 岡田山田 and let’s 躺平 in peace,130,1
Dexter Hine,just pick me 岡田山田 and let’s 躺平 in peace,60,1
Kevin Ye,just pick me 岡田山田 and let’s 躺平 in peace,170,1
