Packet,Pocket Dimension v3/Packet 7.docx
Team A,dome-gal4 > uas-jupitergfp
Team B,loveday's lost braincell
Final Score,dome-gal4 > uas-jupitergfp 280 - 330 loveday's lost braincell
Winner,loveday's lost braincell
Exported,2026-08-23T21:50:37.662Z

Team,Score
dome-gal4 > uas-jupitergfp,280
loveday's lost braincell,330

Player,Team,Points,Played
Alyssa Parker,dome-gal4 > uas-jupitergfp,30,1
Joyce Xi,dome-gal4 > uas-jupitergfp,50,1
Brendan Liaw,dome-gal4 > uas-jupitergfp,120,1
Ali Hasan,dome-gal4 > uas-jupitergfp,80,1
Terrence Jang,loveday's lost braincell,10,1
Victoria Shmig,loveday's lost braincell,70,1
Lucas Xiong,loveday's lost braincell,180,1
Amraj Sandhu,loveday's lost braincell,70,1
Eric Liu,loveday's lost braincell,0,0
Emalyn Hamm,loveday's lost braincell,0,0
