Packet,Pocket Dimension v3/Packet 8.docx
Team A,ski be dee
Team B,Madrzyk: The Gathering
Final Score,ski be dee 185 - 595 Madrzyk: The Gathering
Winner,Madrzyk: The Gathering
Exported,2026-08-23T22:22:44.639Z

Team,Score
ski be dee,185
Madrzyk: The Gathering,595

Player,Team,Points,Played
Gabriela Ang,ski be dee,80,1
Nathan Starck,ski be dee,20,0.745
Matías Lazarte,ski be dee,0,1
Olivia Sze,ski be dee,45,1
Finn Townson-Carolan,ski be dee,30,0.787
Vince Alcibar,ski be dee,0,1
Jerry Yi,ski be dee,10,0.255
Isabella Hakemi,ski be dee,0,1
Josh Yamada,Madrzyk: The Gathering,155,1
Russell Nip,Madrzyk: The Gathering,230,1
Justin Qian,Madrzyk: The Gathering,60,1
John Chen,Madrzyk: The Gathering,150,1
