Packet,(no packet loaded)
Team A,ski be dee
Team B,fabulous fih
Final Score,ski be dee 200 - 210 fabulous fih
Winner,fabulous fih
Exported,2026-08-23T18:24:13.400Z

Team,Score
ski be dee,200
fabulous fih,210

Player,Team,Points,Played
Jerry Yi,ski be dee,30,0.9
Finn Townson-Carolan,ski be dee,40,0.9
Gabriela Ang,ski be dee,30,0.9
Olivia Sze,ski be dee,0,0.32
Nathan Starck,ski be dee,0,0.32
Matías Lazarte,ski be dee,50,0.32
Vince Alcibar,ski be dee,50,1
Jerry Wong,fabulous fih,20,1
Charles Xin,fabulous fih,70,1
Wesley Yu,fabulous fih,70,1
Darien Yang,fabulous fih,50,1
